date_captured,substance,url,asin,seller,screenshot
2020-08-25,GHRP-2,https://www.amazon.com/Growth-Hormone-Releasing-Peptide-2-GHRP-2/dp/B0149BEJGG/ref=sr_1_21?dchild=1&m=A3NHLVMZMCF47R,B0149BEJGG,(Pharma Grade Peptides),https://raw.githubusercontent.com/the-markup/investigation-amazon-peptides/raw/master/screenshots/screencapture-amazon-Growth-Hormone-Releasing-Peptide-2-GHRP-2-dp-B0149BEJGG-ref-sr-1-21-2020-08-25-14_02_11.png
2020-08-25,TB-500,https://www.amazon.com/TB-500-10mg-Vial/dp/B01ETSOI5Q/ref=sr_1_17?dchild=1&m=A3NHLVMZMCF47R,B01ETSOI5Q,(Pharma Grade Peptides),https://raw.githubusercontent.com/the-markup/investigation-amazon-peptides/raw/master/screenshots/screencapture-amazon-TB-500-10mg-Vial-dp-B01ETSOI5Q-ref-sr-1-17-2020-08-25-13_59_20.png
2020-09-03,TB-500,https://www.amazon.com/TB-500-10mg-Vial/dp/B01ETSOI5Q/ref=sr_1_9?dchild=1&m=A3C5TLTWUDRI6T,B01ETSOI5Q,Pendmo Supplies,https://raw.githubusercontent.com/the-markup/investigation-amazon-peptides/raw/master/screenshots/screencapture-amazon-TB-500-10mg-Vial-dp-B01ETSOI5Q-ref-sr-1-9-2020-09-03-12_31_06.png
2020-09-03,Melanotan 1,https://www.amazon.com/InQuest-malanotan-1-10mg-vial/dp/B01N39ZTRR/ref=sr_1_17?dchild=1&m=A3NHLVMZMCF47R,B01N39ZTRR,(Pharma Grade Peptides),https://raw.githubusercontent.com/the-markup/investigation-amazon-peptides/raw/master/screenshots/screencapture-amazon-InQuest-malanotan-1-10mg-vial-dp-B01N39ZTRR-ref-pd-sbs-328-7-2020-09-03-16_03_18.png
2020-09-02,Melanotan 1,https://www.amazon.com/InQuest-malanotan-1-10mg-vial/dp/B01N39ZTRR/ref=pd_sbs_328_7?_encoding=UTF8&pd_rd_i=B01N39ZTRR&pd_rd_r=3bf1cf7e-b965-435b-a2ce-b35df05c9c6f&pd_rd_w=0mw9I&pd_rd_wg=3Huff&pf_rd_p=b65ee94e-1282-43fc-a8b1-8bf931f6dfab&pf_rd_r=HGN31WK6KRZ9B94AA0WW&psc=1&refRID=HGN31WK6KRZ9B94AA0WW,B01N39ZTRR,AMAZING PEPTIDES,https://raw.githubusercontent.com/the-markup/investigation-amazon-peptides/raw/master/screenshots/screencapture-amazon-InQuest-malanotan-1-10mg-vial-dp-B01N39ZTRR-ref-pd-sbs-328-7-2020-09-03-16_03_18.png
2020-09-03,Epitalon,https://www.amazon.com/Epitalon-Epithalon-Telomere-Lengthener-Lifespan/dp/B078WW78VL/ref=sr_1_7?dchild=1&m=A3NHLVMZMCF47R,B078WW78VL,(Pharma Grade Peptides),https://raw.githubusercontent.com/the-markup/investigation-amazon-peptides/raw/master/screenshots/screencapture-amazon-Epitalon-Epithalon-Telomere-Lengthener-Lifespan-dp-B078WW78VL-ref-sr-1-7-2020-09-03-14_54_44.png
2020-09-03,Epitalon,https://www.amazon.com/Epitalon-Epithalon-Telomere-Lengthener-Lifespan/dp/B078WW78VL/ref=sr_1_7?dchild=1&m=A3C5TLTWUDRI6T,B078WW78VL,Pendmo Supplies,https://raw.githubusercontent.com/the-markup/investigation-amazon-peptides/raw/master/screenshots/screencapture-amazon-Epitalon-Epithalon-Telomere-Lengthener-Lifespan-dp-B078WW78VL-ref-sr-1-7-2020-09-03-12_01_12.png
2020-08-25,BPC 157,https://www.amazon.com/Rejevity-BPC-157-50mg-Protective-Compound/dp/B07HR5B7BW/ref=sr_1_4?dchild=1&m=A3NHLVMZMCF47R,B07HR5B7BW,(Pharma Grade Peptides),https://raw.githubusercontent.com/the-markup/investigation-amazon-peptides/raw/master/screenshots/screencapture-amazon-Rejevity-BPC-157-50mg-Protective-Compound-dp-B07HR5B7BW-ref-sr-1-4-2020-08-25-13_49_20.png
2020-09-03,TB-500,https://www.amazon.com/TB-500-10mg/dp/B07ND13D2W/ref=sr_1_3?dchild=1&m=A3NHLVMZMCF47R,B07ND13D2W,Pendmo Supplies,https://raw.githubusercontent.com/the-markup/investigation-amazon-peptides/raw/master/screenshots/screencapture-amazon-TB-500-10mg-dp-B07ND13D2W-ref-sr-1-4-2020-09-03-11_53_15.png
2020-08-25,TB-500,https://www.amazon.com/TB-500-10mg/dp/B07ND13D2W/ref=sr_1_4?dchild=1&m=A3C5TLTWUDRI6T,B07ND13D2W,(Pharma Grade Peptides),https://raw.githubusercontent.com/the-markup/investigation-amazon-peptides/raw/master/screenshots/screencapture-amazon-TB-500-10mg-dp-B07ND13D2W-ref-sr-1-3-2020-08-25-13_47_47.png
2020-08-25,TB-500,https://www.amazon.com/Rejevity-TB-500-25mg-Thymosin-Beta-4/dp/B07PG2X95J/ref=sr_1_12?dchild=1&m=A3NHLVMZMCF47R,B07PG2X95J,(Pharma Grade Peptides),https://raw.githubusercontent.com/the-markup/investigation-amazon-peptides/raw/master/screenshots/screencapture-amazon-Rejevity-TB-500-25mg-Thymosin-Beta-4-dp-B07PG2X95J-ref-sr-1-12-2020-08-25-13_57_12.png
2020-09-02,GHRP-6,https://www.amazon.com/5-00205-Size-His1-GHRP-Scientific/dp/B07PPQ6F4F/ref=sr_1_1?dchild=1&m=A1NRJZI87KFUBY,B07PPQ6F4F,PURITY PEPTIDES,https://raw.githubusercontent.com/the-markup/investigation-amazon-peptides/raw/master/screenshots/screencapture-amazon-5-00205-Size-His1-GHRP-Scientific-dp-B07PPQ6F4F-ref-sr-1-1-2020-09-02-14_25_45.png
2020-08-25,Epitalon,https://www.amazon.com/Epitalon-10mg-Epithalon-Purity-HPLC-Tested/dp/B07SD7ZB2T/ref=sr_1_4?dchild=1&m=A2ERT4W6X51QOS,B07SD7ZB2T,QRC,https://raw.githubusercontent.com/the-markup/investigation-amazon-peptides/raw/master/screenshots/screencapture-amazon-Epitalon-10mg-Epithalon-Purity-HPLC-Tested-dp-B07SD7ZB2T-ref-sr-1-4-2020-08-25-14_08_14.png
2020-08-25,TB-500,https://www.amazon.com/TB-500-Thymosin-Beta-4-Purity-HPLC-Tested/dp/B07WGWMHQ5/ref=sr_1_5?dchild=1&m=A2ERT4W6X51QOS,B07WGWMHQ5,QRC,https://raw.githubusercontent.com/the-markup/investigation-amazon-peptides/raw/master/screenshots/screencapture-amazon-TB-500-Thymosin-Beta-4-Purity-HPLC-Tested-dp-B07WGWMHQ5-ref-sr-1-5-2020-08-25-14_09_13.png
